drug,db.id,efficacy.or,eff.ci.lb,eff.ci.ub,accept.or,acc.ci.lb,acc.ci.ub
agomelatine,DB06594,1.65,1.44,1.88,0.84,0.72,0.97
buproprion,DB01156,1.58,1.35,1.86,0.96,0.81,1.14
citalopram,DB00215,1.52,1.24,1.74,0.94,0.8,1.09
desvenlafaxine,DB06700,1.49,1.66,1.79,1.08,0.88,1.33
duloxetine,DB00476,1.85,1.5,2.07,1.09,0.96,1.23
escitalopram,DB01175,1.68,1.87,1.87,0.9,0.8,1.02
fluoxetine,DB00472,1.52,1.4,1.66,0.88,0.8,0.96
fluvoxamine,DB00176,1.69,1.41,2.02,1.1,0.91,1.33
levomilnacipran,DB08918,1.59,1.24,2.05,1.19,0.93,1.53
milnacipran,DB04896,1.74,1.37,2.23,0.95,0.73,1.26
mirtazapine,DB00370,1.89,1.64,2.2,0.99,0.85,1.15
paroxetine,DB00715,1.75,1.61,1.96,0.95,0.87,1.03
reboxetine,DB00234,1.37,1.16,1.63,1.16,0.96,1.4
sertraline,DB01104,1.67,1.49,1.87,0.96,0.85,1.08
venlafaxine,DB00285,1.78,1.61,1.96,1.04,0.93,1.15
vilazodone,DB06684,1.6,1.28,2,1.14,0.88,1.47
vortioxetine,DB09068,1.66,1.45,1.92,1.01,0.86,1.19
amitriptyline,DB00321,2.13,1.89,2.41,0.95,0.83,1.08
clomipramine,DB01242,1.49,1.21,1.85,1.3,1.01,1.68
trazodone,DB00656,1.51,1.25,1.83,1.15,0.93,1.42
nefazodone,DB01149,1.67,1.32,2.12,0.93,0.72,1.19